Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dariba Kalan,28.6546024,77.2333794,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.65602719,77.23043754,Indian Restaurant
Dariba Kalan,28.6546024,77.2333794,Wah Ji Wah,28.65629886,77.23308065,Vegetarian / Vegan Restaurant
Dariba Kalan,28.6546024,77.2333794,Old Famous Jalebi Waala,28.65601158,77.23360443,Indian Restaurant
Dariba Kalan,28.6546024,77.2333794,Pt. Kanhaiya Lal Durga Prashad Dixit Parawthe Wala,28.65610898,77.2304648,Indian Restaurant
Dariba Kalan,28.6546024,77.2333794,Ganga Bhojnayala,28.65619287,77.23044235,Indian Restaurant
Kamla Nagar,28.68034425,77.2021292,Bille Di Hatti | बिल्ले दी हट्टी,28.68158765,77.2017194,Breakfast Spot
Kamla Nagar,28.68034425,77.2021292,Mad Over Donuts,28.68075698,77.20388888,Donut Shop
Kamla Nagar,28.68034425,77.2021292,Chicago Pizza,28.68158977,77.20320225,Pizza Place
Kamla Nagar,28.68034425,77.2021292,Gopal Sweets,28.68265996,77.19966532,Breakfast Spot
Kamla Nagar,28.68034425,77.2021292,Chache Di Hatti | चाचे दी हट्टी,28.6822228,77.20586404,Indian Restaurant
Kamla Nagar,28.68034425,77.2021292,Bittu Tikki Walla (BTW),28.68218568,77.20255697,Indian Restaurant
Kamla Nagar,28.68034425,77.2021292,Vaishnav Chaat Bhandaar,28.68260086,77.2033655,Restaurant
Kamla Nagar,28.68034425,77.2021292,Momo's Point,28.68147858,77.2070668,Chinese Restaurant
Kamla Nagar,28.68034425,77.2021292,Sharma Kachodi Waaley,28.68243183,77.19931719,Breakfast Spot
Kamla Nagar,28.68034425,77.2021292,"KFC, Bunglow Road",28.68078356,77.19794714,Fried Chicken Joint
Kamla Nagar,28.68034425,77.2021292,Ved Dhaba,28.67782435,77.20548092,Indian Restaurant
Kashmiri Gate,28.6699765,77.2320588,Domino's Pizza,28.668,77.228,Pizza Place
Kashmiri Gate,28.6699765,77.2320588,Zomsa Restaurant,28.672825,77.231288,Tibetan Restaurant
Kashmiri Gate,28.6699765,77.2320588,Nirula's Express (Kashmiri Gate Metro Station),28.66792201,77.22910634,Fast Food Restaurant
Kashmiri Gate,28.6699765,77.2320588,Comesum,28.66791484,77.22791626,Fast Food Restaurant
Kashmiri Gate,28.6699765,77.2320588,McDonald's,28.66798793,77.22909511,American Restaurant
Kotwali,28.6585978,77.2310844,Haldiram's,28.65628894,77.23170543,Snack Place
Kotwali,28.6585978,77.2310844,Babu Ram Paranthe Wale,28.65582013,77.23044813,Indian Restaurant
Kotwali,28.6585978,77.2310844,Parawthe Wale,28.65603319,77.23050002,Indian Restaurant
Kotwali,28.6585978,77.2310844,McDonald's,28.66116631,77.22759629,Fast Food Restaurant
Kotwali,28.6585978,77.2310844,Natraj | नटराज,28.65635734,77.23058724,Snack Place
Kotwali,28.6585978,77.2310844,McDonald's,28.65616188,77.23420838,Fast Food Restaurant
Kotwali,28.6585978,77.2310844,McDonald's,28.66128896,77.22716404,Fast Food Restaurant
Kotwali,28.6585978,77.2310844,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.65602719,77.23043754,Indian Restaurant
Kotwali,28.6585978,77.2310844,Ganga Bhojnayala,28.65619287,77.23044235,Indian Restaurant
Kotwali,28.6585978,77.2310844,Pt. Kanhaiya Lal Durga Prashad Dixit Parawthe Wala,28.65610898,77.2304648,Indian Restaurant
Kotwali,28.6585978,77.2310844,Wah Ji Wah,28.65629886,77.23308065,Vegetarian / Vegan Restaurant
Kotwali,28.6585978,77.2310844,Old Famous Jalebi Waala,28.65601158,77.23360443,Indian Restaurant
Kotwali,28.6585978,77.2310844,Comesum,28.6606685,77.22781023,Restaurant
Lahori Gate,28.6568411,77.2185339,Kake Di Hatti | काके दी हट्टी,28.65804958,77.22337706,Indian Restaurant
Lahori Gate,28.6568411,77.2185339,Gole hatti,28.65723224,77.22283024,Snack Place
Lahori Gate,28.6568411,77.2185339,Chaina Ram,28.65667872,77.22340847,Indian Restaurant
Lahori Gate,28.6568411,77.2185339,Chainaram,28.65661806,77.22347583,Snack Place
Nehru Vihar,28.7107447,77.22117438,Wah ji wah,28.71095,77.217697,Snack Place
Nehru Vihar,28.7107447,77.22117438,Birdy's Bakery & Patisserie,28.710996,77.217677,Bakery
Paharganj,28.6419258,77.2217499,KFC,28.64180455,77.21909138,Fast Food Restaurant
Paharganj,28.6419258,77.2217499,KFC,28.64498202,77.2235039,Fast Food Restaurant
Paharganj,28.6419258,77.2217499,Comesum - The Food Junction,28.64284589,77.22303796,Food Court
Paharganj,28.6419258,77.2217499,Khan Market,28.64221957,77.21831103,Chinese Restaurant
Pratap Nagar,28.6667177,77.1988974,dominoz pizza,28.66830009,77.19959794,Pizza Place
Roshanara Bagh,28.67371835,77.19931978,Tikka Shikka & More,28.675907,77.19806,Indian Restaurant
Sant Nagar,28.64641805,77.09118836,Mad Over Donuts,28.64543988,77.09256649,Donut Shop
Sant Nagar,28.64641805,77.09118836,Cup Cake Radisson Blu,28.64622327,77.08695968,Bakery
Sarai Kale Khan,28.5866263,77.25622818,Comesum - The Food Junction,28.58970529,77.25321161,Food Court
Sarai Kale Khan,28.5866263,77.25622818,Aggarwal Sweets,28.58844546,77.2539941,Fast Food Restaurant
Sarai Kale Khan,28.5866263,77.25622818,Taste Triangle,28.58935464,77.25619733,Restaurant
Shakti Nagar,28.67979,77.1949142,Vikrant Cafe,28.68063646,77.19779553,Café
Shakti Nagar,28.67979,77.1949142,"KFC, Bunglow Road",28.68078356,77.19794714,Fried Chicken Joint
Shakti Nagar,28.67979,77.1949142,Bombay Bhel House,28.68167143,77.19895222,Snack Place
Shakti Nagar,28.67979,77.1949142,Chowringhee,28.68112875,77.19034979,Indian Restaurant
Timarpur,28.70126285,77.21867954,Le Bistrot - Cuisine Et Culture Francaises,28.70288439,77.22189273,French Restaurant
Wazirabad,28.433762,77.0877572,Indian Chopsticks,28.43427715,77.08411581,Snack Place
Dilshad Garden,28.6806819,77.3220645,The Riding Guns,28.68245387,77.32171556,Café
Dilshad Garden,28.6806819,77.3220645,M.K Confectionery,28.68264798,77.32361764,Indian Restaurant
Dilshad Garden,28.6806819,77.3220645,Govind dhaba,28.68074744,77.31901194,Indian Restaurant
Dilshad Garden,28.6806819,77.3220645,tandoor point,28.68196156,77.31793642,Indian Restaurant
Dilshad Garden,28.6806819,77.3220645,Bikanerwala,28.67645742,77.32142949,Fast Food Restaurant
Naveen Shahdara,28.6773386,77.2860157,Morning Corner,28.679894,77.287361,Breakfast Spot
Naveen Shahdara,28.6773386,77.2860157,Halidrams,28.67591837,77.29012643,Vegetarian / Vegan Restaurant
Naveen Shahdara,28.6773386,77.2860157,New Shahi Food Corner,28.676237,77.29045,Dhaba
Shahdara,28.6773038,77.2903467,New Shahi Food Corner,28.676237,77.29045,Dhaba
Shahdara,28.6773038,77.2903467,Halidrams,28.67591837,77.29012643,Vegetarian / Vegan Restaurant
Shahdara,28.6773038,77.2903467,Morning Corner,28.679894,77.287361,Breakfast Spot
Yamuna Vihar,28.700372,77.2727728,Anand Sagar Sweets,28.702434,77.272368,North Indian Restaurant
Yamuna Vihar,28.700372,77.2727728,waho tenzin restaurant,28.70254709,77.2705718,Dumpling Restaurant
Chandni Chowk,28.6434826,77.2227421,KFC,28.64498202,77.2235039,Fast Food Restaurant
Chandni Chowk,28.6434826,77.2227421,KFC,28.64180455,77.21909138,Fast Food Restaurant
Chandni Chowk,28.6434826,77.2227421,Comesum - The Food Junction,28.64284589,77.22303796,Food Court
Chandni Chowk,28.6434826,77.2227421,Khan Market,28.64221957,77.21831103,Chinese Restaurant
Daryaganj,28.64609,77.243048,Moti Mahal,28.64652253,77.24014483,Indian Restaurant
Daryaganj,28.64609,77.243048,Changezi Chicken,28.64375143,77.24048582,Indian Restaurant
Daryaganj,28.64609,77.243048,Prince Paan,28.64654644,77.24017009,Restaurant
Daryaganj,28.64609,77.243048,Zaika,28.643592,77.240437,Restaurant
Jhandewalan,28.6443363,77.1999274,Cafe Coffee Day,28.64395219,77.20161438,Café
Jhandewalan,28.6443363,77.1999274,Pick Fresh Fish,28.64585446,77.20082199,Fish & Chips Shop
Jhandewalan,28.6443363,77.1999274,New Gupta dhaba,28.646063,77.203224,Indian Restaurant
Jhandewalan,28.6443363,77.1999274,Adyar Ananda Bhavan,28.64648227,77.19564496,Indian Restaurant
Karol Bagh,28.6529982,77.1890227,Om corner,28.65409021,77.18995671,Snack Place
Karol Bagh,28.6529982,77.1890227,Om Baturawale,28.6540709,77.19029925,Indian Restaurant
Karol Bagh,28.6529982,77.1890227,Peshawari chicken corner,28.65448537,77.19037225,Fried Chicken Joint
Karol Bagh,28.6529982,77.1890227,Sindhi tikki corner,28.65511873,77.19097137,Snack Place
Karol Bagh,28.6529982,77.1890227,Mame di hatti,28.6556189,77.18771054,Indian Restaurant
Karol Bagh,28.6529982,77.1890227,Standard Sweets,28.65095196,77.19238253,Snack Place
Bara Hindu Rao,28.6595181,77.20501,Al Naseem Food,28.660903,77.206671,Afghan Restaurant
Bara Hindu Rao,28.6595181,77.20501,Anmol Chicken Corner,28.6614013,77.20702626,Afghan Restaurant
Bara Hindu Rao,28.6595181,77.20501,Pancham Chole Kulche,28.6570239,77.20371,Snack Place
Bara Hindu Rao,28.6595181,77.20501,Kamal Sweets,28.659733,77.209043,Indian Restaurant
Paharganj,28.6419258,77.2217499,KFC,28.64180455,77.21909138,Fast Food Restaurant
